id,color_image,thermal_image,hotspot_id,hotspot_type,species_id,species_confidence,fog,thermal_x,thermal_y,color_left,color_top,color_right,color_bottom, updated_left, updated_top, updated_right, updated_bottom, updated, status
-1,CHESS2016_N94S_FL12_C__20160421211808.876GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421211807.757GMT_THERM-16BIT.PNG,79098,Duplicate,Ringed Seal,100%,No,555,72,5449,3039,5961,3551,5639,3301,5728,3362,true,removed
-1,CHESS2016_N94S_FL12_C__20160421211808.876GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421211808.876GMT_THERM-16BIT.PNG,79099,Animal,Ringed Seal,100%,No,582,366,5434,3053,5946,3565,5642,3302,5729,3364,true,none
-1,CHESS2016_N94S_FL12_C__20160421213802.395GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421213802.395GMT_THERM-16BIT.PNG,79100,Animal,Ringed Seal,100%,No,155,206,919,1529,1431,2041,1187,1747,1245,1816,true,none
-1,CHESS2016_N94S_FL12_C__20160421213947.440GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421213947.440GMT_THERM-16BIT.PNG,79101,Animal,Ringed Seal,100%,No,323,104,2748,179,3260,691,2976,442,3037,485,true,none
-1,CHESS2016_N94S_FL12_C__20160421213958.041GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421213958.041GMT_THERM-16BIT.PNG,79102,Animal,Ringed Seal,100%,No,111,242,455,1863,967,2375,692,2112,758,2169,true,none
-1,CHESS2016_N94S_FL12_C__20160421214055.872GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214055.872GMT_THERM-16BIT.PNG,79103,Animal,Ringed Seal,100%,No,458,320,4099,2514,4611,3026,4312,2748,4361,2779,true,none
-1,CHESS2016_N94S_FL12_C__20160421214059.228GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214059.228GMT_THERM-16BIT.PNG,79104,Duplicate,Ringed Seal,100%,No,513,94,4723,19,5235,531,4981,231,5038,263,true,none
-1,CHESS2016_N94S_FL12_C__20160421214100.263GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214100.263GMT_THERM-16BIT.PNG,79105,Animal,Ringed Seal,100%,No,517,434,4781,3750,5293,4262,4972,3976,5026,4007,true,none
-1,CHESS2016_N94S_FL12_C__20160421214340.129GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214340.129GMT_THERM-16BIT.PNG,79106,Animal,Ringed Seal,100%,No,133,280,556,2139,1068,2651,842,2346,897,2392,true,none
-1,CHESS2016_N94S_FL12_C__20160421214630.573GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214630.573GMT_THERM-16BIT.PNG,79107,Animal,Ringed Seal,100%,No,207,181,1268,963,1780,1475,1478,1181,1534,1234,true,none
-1,CHESS2016_N94S_FL12_C__20160421214633.420GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214633.420GMT_THERM-16BIT.PNG,79108,Duplicate,Ringed Seal,100%,No,326,69,2632,-39,3144,473,2866,173,2897,245,true,none
-1,CHESS2016_N94S_FL12_C__20160421214634.068GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214634.068GMT_THERM-16BIT.PNG,79109,Animal,Ringed Seal,100%,No,382,351,3198,2966,3710,3478,3428,3154,3460,3232,true,none
-1,CHESS2016_N94S_FL12_C__20160421214754.369GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421214754.369GMT_THERM-16BIT.PNG,79110,Animal,Ringed Seal,100%,No,146,130,774,934,1286,1446,999,1169,1060,1204,true,none
-1,CHESS2016_N94S_FL12_C__20160421215322.290GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215320.989GMT_THERM-16BIT.PNG,79112,Duplicate,Ringed Seal,100%,No,230,17,2124,3837,2636,4349,-1,-1,-1,-1,true,removed
-1,CHESS2016_N94S_FL12_C__20160421215322.290GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215322.290GMT_THERM-16BIT.PNG,79113,Animal,Ringed Seal,100%,No,275,450,2110,3866,2622,4378,2350,4049,2381,4118,true,none
-1,CHESS2016_N94S_FL12_C__20160421215349.572GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215349.572GMT_THERM-16BIT.PNG,79114,Animal,Ringed Seal,100%,No,594,400,5507,3344,6019,3856,5754,3567,5805,3621,true,none
-1,CHESS2016_N94S_FL12_C__20160421215351.941GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215351.941GMT_THERM-16BIT.PNG,79115,Animal,Ringed Seal,100%,No,298,274,2327,2210,2839,2722,2564,2461,2635,2491,true,none
-1,CHESS2016_N94S_FL12_C__20160421215356.807GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215356.807GMT_THERM-16BIT.PNG,79116,Animal,Ringed Seal,100%,No,296,53,2327,-198,2839,314,2542,0,2598,54,true,none
-1,CHESS2016_N94S_FL12_C__20160421215739.147GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215739.147GMT_THERM-16BIT.PNG,79117,Animal,Ringed Seal,100%,No,485,217,4171,1152,4683,1664,4419,1378,4448,1442,true,none
-1,CHESS2016_N94S_FL12_C__20160421215902.811GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215902.811GMT_THERM-16BIT.PNG,79118,Animal,Ringed Seal,100%,No,565,109,5156,292,5668,804,5391,534,5446,579,true,none
-1,CHESS2016_N94S_FL12_C__20160421215902.811GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421215903.926GMT_THERM-16BIT.PNG,79119,Duplicate,Ringed Seal,100%,No,622,473,5144,266,5656,778,-1,-1,-1,-1,true,removed
-1,CHESS2016_N94S_FL12_C__20160421220254.116GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421220254.116GMT_THERM-16BIT.PNG,79120,Animal,Ringed Seal,100%,No,514,212,4766,1616,5278,2128,5017,1819,5075,1884,true,none
-1,CHESS2016_N94S_FL12_C__20160421220256.381GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421220256.381GMT_THERM-16BIT.PNG,79121,Animal,Ringed Seal,100%,No,487,286,4607,1456,5119,1968,4839,1733,4894,1773,true,none
-1,CHESS2016_N94S_FL12_C__20160421220933.388GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421220933.388GMT_THERM-16BIT.PNG,79123,Animal,Ringed Seal,100%,No,415,193,3866,455,4378,967,4092,681,4167,733,true,none
-1,CHESS2016_N94S_FL12_C__20160421221859.662GMT_COLOR-8-BIT.JPG,CHESS2016_N94S_FL12_C__20160421221859.662GMT_THERM-16BIT.PNG,79532,Animal,Ringed Seal,100%,No,133,152,455,179,967,691,718,415,775,478,true,none
